,TIME,ZIP,LAT,LONG,Pers I,Pers K,Ped I,Ped K,Cyc I,Cyc K,Mot I,Mot K
TIME,1,,,,,,,,,,,
ZIP,-0.011137882,1,,,,,,,,,,
LAT,-0.000362077,-0.506632323,1,,,,,,,,,
LONG,0.002233649,0.529564644,0.286494325,1,,,,,,,,
Pers I,0.028472702,0.032422951,0.056737481,0.06155939,1,,,,,,,
Pers K,-0.042569939,-0.004348875,0.015712515,0.000431091,0.156786137,1,,,,,,
Ped I,0.020840455,-0.052577432,0.036460958,-0.012700288,0.179467818,-0.003942679,1,,,,,
Ped K,0.004593824,-0.026576378,0.012984782,-0.010633618,0.012496806,0.576925903,-0.002274634,1,,,,
Cyc I,0.043819103,-0.054742031,0.026502094,-0.029182007,0.049464265,-0.004239548,-0.007571976,-0.002445905,1,,,
Cyc K,0,0,0,0,0,0,0,0,0,1,,
Mot I,0.021580346,0.046727563,0.049175555,0.067328349,0.982198864,0.16051597,0.012574093,0.013312572,-0.035671197,0,1,
Mot K,-0.055367661,0.013474941,0.010051744,0.00804965,0.183112583,0.816196343,-0.003218,-0.001039481,-0.003460304,0,0.187101951,1
