Pers K,,,,,,,,,,
Pers i,0,42.755,41.797,1,32.019,11.889,9.299,6.708,52.885,3.742
Mot i,42.755,0,7.28,42.767,43.707,39.189,39.834,42.202,52.526,42.849
Mot K,41.797,7.28,0,41.809,42.976,38.38,39.017,42.237,52.641,42.154
Zip,1,42.767,41.809,0,32.006,11.871,9.275,6.633,52.902,3.606
Long,32.019,43.707,42.976,32.006,0,23.533,27.588,32.505,39.393,32.099
Lat,11.889,39.189,38.38,11.871,23.533,0,4.482,13.049,42.856,12.039
Ped i,9.299,39.834,39.017,9.275,27.588,4.482,0,10.779,45.23,9.504
Time,6.708,42.202,42.237,6.633,32.505,13.049,10.779,0,52.748,7.28
Cyc i,52.885,52.526,52.641,52.902,39.393,42.856,45.23,52.748,0,52.672
,3.742,42.849,42.154,3.606,32.099,12.039,9.504,7.28,52.672,0
